sl_no,judge_name,states,districts
454,R Garg,,Hoshiarpur
455,R Gururajan,,Jalandhar
456,R Hemalatha,,Kapurthala
457,R K Abichandani,,Ludhiana
458,R K Mahajan,,Mansa
459,R K Mitra,,Moga
460,R Khurana,,Sri Muktsar Sahib
461,R Kochar,,Pathankot
462,R Kumar,,Patiala
463,R L Khurana,,Rupnagar
464,R M Chhaya,,Sahibzada Ajit Singh Nagar
465,R Mahajan,,Sangrur
466,R Merathia,,Shahid Bhagat Singh Nagar
467,R Misra,,Tarn Taran
468,R Nagendran,,Ajmer
469,R Nariman,,Alwar
470,R P Dholakia,,Bikaner
471,R P Dholaria,,Barmer
472,R Pongiappan,,Banswara
473,R Pyne,,Bharatpur
474,R R Prasad,,Baran
475,R Rathinasami,,Bundi
476,R Raveendran,,Bhilwara
477,R S Garg,,Churu
478,R S Jha,,Chittorgarh
479,R Sharma,,Dausa
480,R Subbiah,,Dholpur
481,R Subramanian,,Dungarpur
482,R Suresh Kumar,,Ganganagar
483,R Suresh Kumaru,,Hanumangarh
484,R Tripathi,,Jhunjhunu
485,R V Raveendran,,Jalore
486,Raja Vijayaraghavan V,,Jodhpur
487,Rajan Roy,,Jaipur
488,Rajbir Sehrawat,,Jaisalmer
489,Rajeev Kumar Dubey,,Jhalawar
490,Rajeev Singh,,Karauli
491,Rajendra Kumar,,Kota
492,Rajendra Kumar Mishra,,Nagaur
493,Rajendra Mahajan,,Pali
494,Rajesh H Shukla,,Pratapgarh
495,Rajesh Shankar,,Rajsamand
496,Rajiv Narain Raina,,Sikar
497,Rajiv Sahai Endlaw,,Sawai Madhopur
498,Rajiv Sharma,,Sirohi
499,Rakesh Kumar Jain,,Tonk
500,Rakesh Kumari,,Udaipur
501,Ram Mohan Reddy,,East Sikkim
502,Ramendra Jain,,North Sikkim
503,Ramesh Kumar,,South Sikkim
504,Ramesh Kumar Datta,,West Sikkim
505,Ramesh Kumaru,,Ariyalur
506,Ramesh Ranganathan,,Chengalpattu
507,Rameshwar Singh Malik,,Chennai
508,Ranjan Chatterjee,,Coimbatore
509,Ranjan Gogoi,,Cuddalore
510,Ranjana Prakash Desai,,Dharmapuri
511,Ranjit More,,Dindigul
512,Ravi Malimath,,Erode
513,Ravi R Tripathi,,Kallakurichi
514,Rd Dinakaran,,Kanchipuram
515,Rohinton Fali Nariman,,Kanyakumari
516,Rongon Mukhopadhyay,,Karur
517,Ruchika Singla,,Krishnagiri
518,S A Bobde,,Madurai
519,S A Bobdeagdish Singh Khehar,,Mayiladuthurai
520,S A Dharmadhikari,,Nagapattinam
521,S Abidi,,Nilgiris
522,S Agarwal,,Namakkal
523,S Ahmed,,Perambalur
524,S B Majmudar,,Pudukkottai
525,S B Sinha,,Ramanathapuram
526,S Brahmbhatt,,Ranipet
527,S C Dharmadhikari,,Salem
528,S C Sharma,,Sivaganga
529,S Chadha,,Tenkasi
530,S Chawla,,Tirupur
531,S Dubey,,Tiruchirappalli
532,S H Abidi,,Theni
533,S H Kapadia,,Tirunelveli
534,S Haider Shaukat Abidi,,Thanjavur
535,S Harkauli,,Thoothukudi
536,S Hasan,,Tirupattur
537,S J Kathawalla,,Tiruvallur
538,S J Mukhopadhaya,,Tiruvarur
539,S Jha,,Tiruvannamalai
540,S K Awasthi,,Vellore
541,S K Keshote,,Viluppuram
542,S K Palo,,Virudhunagar
543,S K Shinde,,Adilabad
544,S Keshote,,Komaram Bheem
545,S Khan,,Bhadradri Kothagudem
546,S Khanna,,Hyderabad
547,S Krishnan,,Jagtial
548,S Kumar,,Jangaon
549,S Kurdukar,,Jayashankar Bhupalpally
550,S Mahajan,,Jogulamba Gadwal
551,S Malte,,Kamareddy
552,S Manikumar,,Karimnagar
553,S Mohanty,,Khammam
554,S Mukhopadhaya,,Mahabubabad
555,S Muralidhar,,Mahbubnagar
556,S N Aggarwal,,Mancherial
557,S N Hussain,,Medak
558,S N Shukla,,Medchal-Malkajgiri
559,S Nagamuthu,,Mulugu
560,S Nayak,,Nalgonda
561,S Nayer Hussain,,Narayanpet
562,S Nijjar,,Nagarkurnool
563,S Parkar,,Nirmal
564,S R Alam,,Nizamabad
565,S R Babu,,Peddapalli
566,S R Brahmbhatt,,Rajanna Sircilla
567,S R Krishna Kumar,,Ranga Reddy
568,S R Nayak,,Sangareddy
569,S Radhakrishnan,,Siddipet
570,S Reddy,,Suryapet
571,S Roy,,Vikarabad
572,S S A,,Wanaparthy
573,S S Chadha,,Warangal Urban
574,S S Hasan,,Warangal Rural
575,S S Saron,,Yadadri Bhuvanagiri
576,S S Shinde,,Dhalai
577,S S Sundar,,Gomati
578,S Saghir Ahmad,,Khowai[15]
579,S Sandhawalia,,North Tripura
580,S Sinha,,Sepahijala[16]
581,S Sujatha,,South Tripura
582,S Talapatra,,Unokoti[17]
583,S Tamilvanan,,West Tripura
584,S Thangaraj,,Agra
585,S V Bhatt,,Aligarh
586,S Vaidyanathan,,Allahabad
587,Samarendra Pratap Singh,,Ambedkar Nagar
588,Sambuddha Chakrabarti,,Amethi
589,Sandeep Garg,,Amroha
590,Sandeep K Shinde,,Auraiya
591,Sangeet Lodha,,Azamgarh
592,Sangita Dhingra Sehgal,,Bagpat
593,Sanjay K Agrawal,,Bahraich
594,Sanjay Kishan Kaul,,Ballia
595,Sanjay Kumar,,Balrampur
596,Sanjay Priya,,Banda
597,Sanjay Priyaustice Sanjay Priya,,Barabanki
598,Sanjeev Kumar,,Bareilly
599,Sanjeev Sachdeva,,Basti
600,Sanjib Banerjee,,Bhadohi
601,Sanjib Banerjeeyotirmay Bhattacharya,,Bijnor
602,Sarang V Kotwal,,Budaun
603,Satish K Agnihotri,,Bulandshahr
604,Satish Kumar Mittal,,Chandauli
605,Satyabrata Sinha,,Chitrakoot
606,Sh Deepak Wason,,Deoria
607,Shail Jain,,Etah
608,Shailendra Shukla,,Etawah
609,Shantanu S Kemkar,,Faizabad
610,Sharad Kumar Sharma,,Farrukhabad
611,Sheel Nagu,,Fatehpur
612,Shekher Dhawan,,Firozabad
613,Sneh Prashar,,Gautam Buddh Nagar
614,Subramonium Prasad,,Ghaziabad
615,Sudhanshu Dhulia,,Ghazipur
616,Sudhir Agarwal,,Gonda
617,Sudhir Mittal,,Gorakhpur
618,Suhas C Sen,,Hamirpur
619,Sunil Gaur,,Hapur
620,Sunil K Kotwal,,Hardoi
621,Sunil Thomas,,Hathras
622,Sureshwar Thakur,,Jalaun
623,Surinder Pal Kaur,,Jaunpur
624,Surinder Singh Nijjar,,Jhansi
625,Surya Kant,,Kannauj
626,Sushil Kumar Palo,,Kanpur Dehat
627,Swatanter Kumar,,Kanpur Nagar
628,Syamal Kanti Chakrabarti,,Kasganj
629,T C Rao,,Kaushambi
630,T Chatterjee,,Kushinagar
631,T Doabia,,Lakhimpur Kheri
632,T K Kaushal,,Lalitpur
633,T R Nair,,Lucknow
634,T R Ramachandran Nair,,Maharajganj
635,T Ravindran,,Mahoba
636,T S Doabia,,Mainpuri
637,T S Sivagnanam,,Mathura
638,T S Thakur,,Mau
639,T S Thakurasbir Singh,,Meerut
640,T Sen,,Mirzapur
641,T V Nalawade,,Moradabad
642,Tarun Agarwala,,Muzaffarnagar
643,Tarun Chatterjee,,Pilibhit
644,Tarun Kumar Kaushal,,Pratapgarh
645,Thomas P Joseph,,Raebareli
646,Thottathil B Radhakrishnan,,Rampur
647,U C Banerjee,,Saharanpur
648,U C Dhyani,,Sambhal
649,U D Salvi,,Sant Kabir Nagar
650,U Pandey,,Shahjahanpur
651,Uma Devi,,Shamli[18]
652,Umesh Chandra Banerjee,,Shravasti
653,V Bakthavatsalu,,Siddharthnagar
654,V Bali,,Sitapur
655,V Dhanapalan,,Sonbhadra
656,V Giri,,Sultanpur
657,V Gopala Gowda,,Unnao
658,V Gupta,,Varanasi
659,V I Ramaswami,,Almora
