Sl_No,Kanoon_id,date
1051,127243948,
1052,46147204,
1053,65602663,
1054,381893,
1055,156061907,
1056,133371108,
1057,75738427,
1058,631171,
1059,48654523,
1060,187940103,
1061,11264522,
1062,80193246,
1063,1853050,
1064,182872964,
1065,126156533,
1066,32042344,
1067,53669032,
1068,125843179,
1069,142330066,
1070,1833251,
1071,116553722,
1072,481921,
1073,190551211,
1074,173713,
1075,168653106,
1076,1686040,
1077,30602574,
1078,99507406,
1079,96205536,
1080,154271629,
1081,103977177,
1082,183827165,
1083,90380231,
1084,77954361,
1085,5270371,
1086,93164753,
1087,192472329,
1088,75557918,
1089,998412,
1090,67733,
1091,88008777,
1092,249859,
1093,358782,
1094,1399094,
1095,1595049,
1096,188165880,
1097,148453954,
1098,681243,
1099,186394066,
1100,96940904,
1101,153173895,
1102,1960462,
1103,134245478,
1104,174733991,
1105,94215266,
1106,1766908,
1107,1455754,
1108,195404610,
1109,34629308,
1110,862503,
1111,70879372,
1112,161612863,
1113,6130620,
1114,111294,
1115,81767104,
1116,170353385,
1117,120091789,
1118,1840800,
1119,63537393,
1120,143192920,
1121,21877047,
1122,180238080,
1123,131776868,
1124,85548806,
1125,32248025,
1126,182986926,
1127,176989564,
1128,78475202,
1129,1726270,
1130,279982,
1131,1756929,
1132,51000896,
1133,195826749,
1134,104597381,
1135,72785466,
1136,46758058,
1137,1949773,
1138,1609095,
1139,1830989,
1140,55800711,
1141,104294241,
1142,27783301,
1143,167859430,
1144,668312,
1145,120646079,
1146,180178,
1147,573879,
1148,117357034,
1149,65207052,
1150,63032754,
1151,92770246,
1152,171945998,
1153,190667650,
1154,74251455,
1155,170251233,
1156,40817424,
1157,129212980,
1158,122743435,
1159,134478747,
1160,131538726,
1161,106385639,
1162,26837360,
1163,111883506,
1164,52041155,
1165,103022146,
1166,38323407,
1167,74482454,
1168,1280200,
1169,59067570,
1170,101267305,
1171,17806873,
1172,128084606,
1173,17985376,
1174,180446000,
1175,131497,
1176,165403284,
1177,19822159,
1178,165250251,
1179,8470685,
1180,147876926,
1181,1840251,
1182,687725,
1183,196084794,
1184,108610026,
1185,1651434,
1186,297408,
1187,84820886,
1188,29517472,
1189,183778588,
1190,61076141,
1191,21685174,
1192,1856078,
1193,153664998,
1194,188543368,
1195,72638631,
1196,74789860,
1197,1866173,
1198,25893656,
1199,175783945,
1200,77543974,
