Sl_No,Kanoon_id,date
894,185940089,10-Apr-19
895,81862089,29-Sep-16
896,44875846,28-Aug-19
897,91407757,17-Jun-19
898,154680664,29-Sep-16
899,103726469,15-Apr-10
900,135568541,17-Apr-18
901,152754710,05-Sep-12
902,1629216,28-May-09
903,966664,04-Sep-06
904,97809158,29-Nov-17
905,129487459,05-Sep-19
906,14748309,14-Jul-17
907,52796551,30-Nov-18
908,198111315,22-Sep-14
909,17100922,06-Sep-18
910,181757428,03-May-12
911,1689289,02-Mar-81
912,186010010,19-Apr-11
913,137288188,05-Jan-18
914,123698942,21-Jan-13
915,95445839,01-May-17
916,768255,19-Apr-96
917,1551683,22-Aug-03
918,100248025,18-Feb-14
919,76789066,19-Nov-13
920,85162655,11-Mar-14
921,1744403,05-Jun-96
922,705918,20-Aug-97
923,1804613,25-Jan-91
924,38812548,22-Jul-11
925,74963475,17-Aug-16
926,29219233,16-Jan-18
927,110813550,24-Mar-15
928,483754,04-Aug-10
929,47918919,17-Aug-20
930,147832012,16-Apr-18
931,1408878,08-Nov-01
932,174067528,14-Nov-19
933,22480467,20-Apr-11
934,756099,31-Jul-07
935,1297422,25-Nov-04
936,90883573,17-Jul-15
937,784303,01-Dec-09
938,25225751,09-Mar-11
939,147358603,23-Aug-18
940,53445616,16-Apr-19
941,23213343,16-Aug-13
942,35454161,23-May-13
943,193195804,26-May-14
944,98864672,12-May-00
945,74433036,22-Sep-16
946,2810522,
947,827110,11-Jan-08
948,93541130,06-Dec-13
949,1584533,01-Sep-98
950,961130,08-Oct-02
951,127152403,10-Sep-14
952,19546395,14-Jul-16
953,170584860,22-Jul-15
954,1323472,22-Jul-05
955,26352158,02-Apr-13
956,172172009,22-May-08
957,704409,29-Nov-96
958,25728337,15-Nov-17
959,32179467,09-Oct-18
960,52266269,08-Dec-17
961,110872046,02-Feb-12
962,4097584,10-Jun-13
963,143069297,01-Aug-16
964,197353007,14-Mar-12
965,5223512,27-Jul-12
966,1419122,23-Apr-96
967,56095455,04-May-17
968,11474653,20-Oct-16
969,87184489,28-Jun-11
970,94997470,15-Feb-17
971,78997174,30-Jul-14
972,95394972,17-Oct-12
973,199641289,02-Dec-19
974,20875097,09-Jan-14
975,53698053,26-Dec-12
976,68722871,05-Jul-12
977,69425638,17-Sep-18
978,52170358,29-Sep-16
979,23564442,26-Feb-15
980,67366462,29-Sep-16
981,17192206,26-Dec-12
982,116320706,02-Aug-18
983,87963724,21-Jan-19
984,1217020,25-Sep-95
985,356130,26-Feb-10
986,666476,19-Aug-03
987,1664729,04-Dec-98
988,45508,13-Aug-90
989,108617602,16-Mar-18
990,14702118,11-Apr-12
991,31703540,18-Nov-13
992,161756265,20-Jun-08
993,88050608,27-May-14
994,103068119,18-Jul-18
995,166774386,15-Feb-12
996,566660,03-Dec-09
997,96009520,01-Jul-13
998,20978343,02-Jul-18
999,118934089,29-Sep-16
1000,119345590,09-Aug-18
1001,130762594,05-Feb-14
1002,107877984,30-Sep-19
1003,122754834,04-Sep-19
1004,128297408,30-Jan-15
1005,23692238,26-Aug-20
1006,24647569,01-Apr-19
1007,66140373,23-May-17
1008,1936596,08-Apr-92
1009,54138425,22-Jan-18
1010,1064806,07-Apr-00
1011,1791413,10-Aug-09
1012,192082219,02-Jul-18
1013,11036933,18-Dec-17
